LGA,hhsize,totalvehs,hhinc,hhsize_normalised,totalvehs_normalised,hhinc_normalised,dwelltype_Flat or Apartment,dwelltype_Other,dwelltype_Separate House,dwelltype_Terrace/Townhouse,owndwell_Being Purchased,owndwell_Being Rented,owndwell_Fully Owned,owndwell_Occupied Rent-Free,owndwell_Something Else,label
GlenEira,1.0,1.0,900.0,0.0,0.25,0.3008008008008008,1,0,0,0,1,0,0,0,0,2
Moreland,3.0,2.0,900.0,0.4,0.5,0.3008008008008008,0,0,1,0,0,0,1,0,0,4
Yarra,3.0,2.0,2600.0,0.4,0.5,0.7707707707707707,0,0,1,0,0,0,1,0,0,3
Wyndham,4.0,1.0,700.0,0.6,0.25,0.2247247247247247,0,1,0,0,0,0,0,1,0,1
Casey,2.0,0.0,900.0,0.2,0.0,0.3008008008008008,0,0,1,0,0,0,1,0,0,5
Boroondara,1.0,1.0,900.0,0.0,0.25,0.3008008008008008,1,0,0,0,1,0,0,0,0,2
GreaterGeelong,4.0,2.0,3150.0,0.6,0.5,0.8433433433433433,0,0,1,0,1,0,0,0,0,3
Manningham,1.0,1.0,500.0,0.0,0.25,0.1506506506506506,0,0,1,0,0,1,0,0,0,0
Kingston,1.0,0.0,3875.0,0.0,0.0,0.917917917917918,0,0,1,0,0,0,1,0,0,6
Darebin,3.0,2.0,1625.0,0.4,0.5,0.5195195195195195,1,0,0,0,0,1,0,0,0,1
Kingston,3.0,2.0,3500.0,0.4,0.5,0.8833833833833833,0,0,1,0,0,0,1,0,0,3
PortPhillip,2.0,2.0,900.0,0.2,0.5,0.3008008008008008,1,0,0,0,0,1,0,0,0,1
Kingston,3.0,1.0,250.0,0.4,0.25,0.0565565565565565,0,0,1,0,0,0,1,0,0,4
Darebin,2.0,1.0,250.0,0.2,0.25,0.0565565565565565,0,0,1,0,0,0,1,0,0,5
MooneeValley,4.0,2.0,1625.0,0.6,0.5,0.5195195195195195,0,0,1,0,0,0,1,0,0,3
MorningtonPeninsula,2.0,1.0,1850.0,0.2,0.25,0.602102102102102,0,0,1,0,0,1,0,0,0,0
Whittlesea,2.0,1.0,2900.0,0.2,0.25,0.8133133133133132,0,0,1,0,0,0,1,0,0,6
Whitehorse,4.0,1.0,1000.0,0.6,0.25,0.3373373373373373,0,0,1,0,1,0,0,0,0,3
Yarra,1.0,1.0,674.0,0.0,0.25,0.201161476098909,0,0,0,1,0,0,1,0,0,2
Cardinia,1.0,1.0,500.0,0.0,0.25,0.1506506506506506,0,0,1,0,1,0,0,0,0,5
Melton,2.0,1.0,1725.0,0.2,0.25,0.5380380380380381,0,0,1,0,0,1,0,0,0,0
Cardinia,1.0,0.0,2875.0,0.0,0.0,0.8108108108108107,1,0,0,0,0,1,0,0,0,1
YarraRanges,4.0,1.0,1750.0,0.6,0.25,0.5565565565565566,0,0,1,0,0,1,0,0,0,0
